sentence_id,sentence,tokens,n_tokens
1,The movie was very good.,[CLS] the movie was very good . [SEP],8
2,This film was really nice.,[CLS] this film was really nice . [SEP],8
3,I found the story charming.,[CLS] i found the story charming . [SEP],8
4,The acting felt quite natural.,[CLS] the acting felt quite natural . [SEP],8
5,This movie looked very beautiful.,[CLS] this movie looked very beautiful . [SEP],8
6,The ending was truly satisfying.,[CLS] the ending was truly satisfying . [SEP],8
7,I enjoyed this film today.,[CLS] i enjoyed this film today . [SEP],8
8,The plot felt warm throughout.,[CLS] the plot felt warm throughout . [SEP],8
9,This was a lovely movie.,[CLS] this was a lovely movie . [SEP],8
10,The cast gave strong performances.,[CLS] the cast gave strong performances . [SEP],8
11,I liked the final scene.,[CLS] i liked the final scene . [SEP],8
12,This film felt deeply moving.,[CLS] this film felt deeply moving . [SEP],8
13,The soundtrack was very pleasant.,[CLS] the soundtrack was very pleasant . [SEP],8
14,The script was smart overall.,[CLS] the script was smart overall . [SEP],8
15,I found it quite enjoyable.,[CLS] i found it quite enjoyable . [SEP],8
16,The movie felt fresh today.,[CLS] the movie felt fresh today . [SEP],8
17,This story was very warm.,[CLS] this story was very warm . [SEP],8
18,The pacing worked very well.,[CLS] the pacing worked very well . [SEP],8
19,I loved this movie completely.,[CLS] i loved this movie completely . [SEP],8
20,The dialogue felt sharp throughout.,[CLS] the dialogue felt sharp throughout . [SEP],8
21,The movie was very bad.,[CLS] the movie was very bad . [SEP],8
22,This film was really awful.,[CLS] this film was really awful . [SEP],8
23,I found the story boring.,[CLS] i found the story boring . [SEP],8
24,The acting felt quite wooden.,[CLS] the acting felt quite wooden . [SEP],8
25,This movie looked very cheap.,[CLS] this movie looked very cheap . [SEP],8
26,The ending was truly annoying.,[CLS] the ending was truly annoying . [SEP],8
27,I disliked this film today.,[CLS] i disliked this film today . [SEP],8
28,The plot felt weak throughout.,[CLS] the plot felt weak throughout . [SEP],8
29,This was a dreadful movie.,[CLS] this was a dreadful movie . [SEP],8
30,The cast gave poor performances.,[CLS] the cast gave poor performances . [SEP],8
31,I hated the final scene.,[CLS] i hated the final scene . [SEP],8
32,This film felt deeply empty.,[CLS] this film felt deeply empty . [SEP],8
33,The soundtrack was very unpleasant.,[CLS] the soundtrack was very unpleasant . [SEP],8
34,The script was dumb overall.,[CLS] the script was dumb overall . [SEP],8
35,I found it quite painful.,[CLS] i found it quite painful . [SEP],8
36,The movie felt stale today.,[CLS] the movie felt stale today . [SEP],8
37,This story was very dull.,[CLS] this story was very dull . [SEP],8
38,The pacing worked very poorly.,[CLS] the pacing worked very poorly . [SEP],8
39,I hated this movie completely.,[CLS] i hated this movie completely . [SEP],8
40,The dialogue felt flat throughout.,[CLS] the dialogue felt flat throughout . [SEP],8
