sentence,true_label,predicted_label,tokens
The movie was very good.,positive,positive,[CLS] the movie was very good . [SEP]
This film was really nice.,positive,positive,[CLS] this film was really nice . [SEP]
I found the story charming.,positive,positive,[CLS] i found the story charming . [SEP]
The acting felt quite natural.,positive,positive,[CLS] the acting felt quite natural . [SEP]
This movie looked very beautiful.,positive,positive,[CLS] this movie looked very beautiful . [SEP]
The ending was truly satisfying.,positive,positive,[CLS] the ending was truly satisfying . [SEP]
I enjoyed this film today.,positive,positive,[CLS] i enjoyed this film today . [SEP]
The plot felt warm throughout.,positive,positive,[CLS] the plot felt warm throughout . [SEP]
This was a lovely movie.,positive,positive,[CLS] this was a lovely movie . [SEP]
The cast gave strong performances.,positive,positive,[CLS] the cast gave strong performances . [SEP]
I liked the final scene.,positive,positive,[CLS] i liked the final scene . [SEP]
This film felt deeply moving.,positive,positive,[CLS] this film felt deeply moving . [SEP]
The soundtrack was very pleasant.,positive,positive,[CLS] the soundtrack was very pleasant . [SEP]
The script was smart overall.,positive,positive,[CLS] the script was smart overall . [SEP]
I found it quite enjoyable.,positive,positive,[CLS] i found it quite enjoyable . [SEP]
The movie felt fresh today.,positive,positive,[CLS] the movie felt fresh today . [SEP]
This story was very warm.,positive,positive,[CLS] this story was very warm . [SEP]
The pacing worked very well.,positive,positive,[CLS] the pacing worked very well . [SEP]
I loved this movie completely.,positive,positive,[CLS] i loved this movie completely . [SEP]
The dialogue felt sharp throughout.,positive,positive,[CLS] the dialogue felt sharp throughout . [SEP]
The movie was very bad.,negative,negative,[CLS] the movie was very bad . [SEP]
This film was really awful.,negative,negative,[CLS] this film was really awful . [SEP]
I found the story boring.,negative,negative,[CLS] i found the story boring . [SEP]
The acting felt quite wooden.,negative,negative,[CLS] the acting felt quite wooden . [SEP]
This movie looked very cheap.,negative,negative,[CLS] this movie looked very cheap . [SEP]
The ending was truly annoying.,negative,negative,[CLS] the ending was truly annoying . [SEP]
I disliked this film today.,negative,negative,[CLS] i disliked this film today . [SEP]
The plot felt weak throughout.,negative,negative,[CLS] the plot felt weak throughout . [SEP]
This was a dreadful movie.,negative,negative,[CLS] this was a dreadful movie . [SEP]
The cast gave poor performances.,negative,negative,[CLS] the cast gave poor performances . [SEP]
I hated the final scene.,negative,negative,[CLS] i hated the final scene . [SEP]
This film felt deeply empty.,negative,negative,[CLS] this film felt deeply empty . [SEP]
The soundtrack was very unpleasant.,negative,negative,[CLS] the soundtrack was very unpleasant . [SEP]
The script was dumb overall.,negative,negative,[CLS] the script was dumb overall . [SEP]
I found it quite painful.,negative,negative,[CLS] i found it quite painful . [SEP]
The movie felt stale today.,negative,negative,[CLS] the movie felt stale today . [SEP]
This story was very dull.,negative,negative,[CLS] this story was very dull . [SEP]
The pacing worked very poorly.,negative,negative,[CLS] the pacing worked very poorly . [SEP]
I hated this movie completely.,negative,negative,[CLS] i hated this movie completely . [SEP]
The dialogue felt flat throughout.,negative,negative,[CLS] the dialogue felt flat throughout . [SEP]
