sentence_id,sentence,true_label,predicted_label,prob_negative,prob_positive,top_tokens,top_shap_values
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,good | very  | was  | The  | movie ,0.453824 | 0.297963 | 0.126605 | -0.083108 | -0.081972
2,This film was really nice.,positive,positive,0.00039497716,0.999605,nice | really  | film  | was  | This ,0.474323 | 0.290302 | -0.170279 | 0.085325 | 0.073932
3,I found the story charming.,positive,positive,0.00030187576,0.99969816,charming | story  | found  | I  | .,0.334460 | 0.192472 | 0.132684 | 0.057539 | -0.042131
4,The acting felt quite natural.,positive,positive,0.0013305639,0.9986695,natural | quite  | felt  | . | The ,0.446984 | 0.236585 | 0.072519 | -0.050889 | 0.004394
5,This movie looked very beautiful.,positive,positive,0.00031269033,0.9996873,beautiful | very  | looked  | . | This ,0.442820 | 0.206179 | 0.087987 | -0.050844 | 0.050732
6,The ending was truly satisfying.,positive,positive,0.00045900128,0.99954104,satisfying | truly  | ending  | was  | The ,0.478871 | 0.356381 | -0.120077 | 0.049952 | -0.044743
7,I enjoyed this film today.,positive,positive,0.0005312425,0.99946874,film  | enjoyed  | today | this  | .,0.222011 | 0.217480 | 0.147640 | 0.127552 | -0.035470
8,The plot felt warm throughout.,positive,positive,0.000533819,0.99946624,warm  | plot  | throughout | felt  | .,0.733209 | -0.182926 | 0.125795 | 0.091528 | -0.030161
9,This was a lovely movie.,positive,positive,0.00038549816,0.9996145,lovely  | movie | a  | This  | was ,0.317262 | 0.174157 | 0.152775 | 0.054411 | 0.050537
10,The cast gave strong performances.,positive,positive,0.0004705662,0.9995295,strong  | gave  | cast  | . | performances,0.384577 | 0.220753 | 0.144265 | -0.038741 | 0.021275
11,I liked the final scene.,positive,positive,0.00068126916,0.9993187,liked  | final  | I  | scene | the ,0.332985 | 0.204971 | 0.088251 | 0.061863 | 0.053616
12,This film felt deeply moving.,positive,positive,0.00037098912,0.999629,deeply  | moving | film  | felt  | This ,0.441338 | 0.196215 | -0.131350 | 0.123902 | 0.120034
13,The soundtrack was very pleasant.,positive,positive,0.0005440587,0.999456,pleasant | very  | soundtrack  | The  | was ,0.461665 | 0.314478 | -0.040455 | -0.036476 | 0.021318
14,The script was smart overall.,positive,positive,0.0003588852,0.99964106,smart  | overall | script  | was  | .,0.624645 | 0.242750 | -0.197895 | 0.090810 | -0.026798
15,I found it quite enjoyable.,positive,positive,0.00036468098,0.99963534,enjoyable | quite  | found  | I  | it ,0.327055 | 0.167291 | 0.107374 | 0.088009 | 0.065529
16,The movie felt fresh today.,positive,positive,0.0009203167,0.9990797,fresh  | today | felt  | The  | movie ,0.513564 | 0.201946 | 0.140239 | -0.055959 | -0.043575
17,This story was very warm.,positive,positive,0.00034956838,0.9996505,warm | very  | was  | . | This ,0.390105 | 0.222800 | 0.079724 | -0.037435 | 0.037021
18,The pacing worked very well.,positive,positive,0.00093281915,0.99906725,worked  | well | very  | pacing  | .,0.357098 | 0.300448 | 0.140845 | -0.056725 | -0.041796
19,I loved this movie completely.,positive,positive,0.0006306848,0.9993693,loved  | movie  | this  | I  | completely,0.229500 | 0.170804 | 0.137323 | 0.126332 | 0.079152
20,The dialogue felt sharp throughout.,positive,positive,0.0007732417,0.9992268,sharp  | dialogue  | throughout | felt  | .,0.710128 | -0.186072 | 0.158399 | 0.080932 | -0.030377
21,The movie was very bad.,negative,negative,0.9991605,0.00083948876,bad | very  | was  | The  | movie ,0.543073 | -0.296372 | -0.126680 | 0.082919 | 0.082531
22,This film was really awful.,negative,negative,0.9990934,0.0009066401,awful | really  | film  | was  | This ,0.523550 | -0.289806 | 0.170651 | -0.085370 | -0.073810
23,I found the story boring.,negative,negative,0.9989667,0.0010332976,boring | story  | found  | I  | .,0.663440 | -0.191936 | -0.132776 | -0.057394 | 0.042085
24,The acting felt quite wooden.,negative,negative,0.9985474,0.001452595,wooden | quite  | felt  | . | The ,0.540662 | -0.231414 | -0.074988 | 0.051058 | -0.003434
25,This movie looked very cheap.,negative,negative,0.9991074,0.0008925156,cheap | very  | looked  | . | This ,0.555326 | -0.206051 | -0.088016 | 0.050889 | -0.050627
